Solution_ID,Text
2,Installation frigorifique négative de type cascade utilisant du CO2
3,Centrale négative en mode booster
4,Arrêt des compresseurs le week end et lorsque le besoin de refroidissement est nul
5,Régulation non électronique sur un compresseur
6,Condenseur frigorifique à haute efficacité
7,Condenseur surélevée pour garantir un bon échange thermique
8,Vérification du dimensionnement et remplacement des compresseurs surdimensionnés si nécessaire.
9,Zone neutre entre les températures de consignes chaude et froide
10,Séparation des productions de froid
11,Diminution des entrées de chaleur dans les zones d'utilisation du froid
12,Pré-refroidissement du produit
13,Meuble frigorifique de type vertical avec uniquement éclairage en fronton
14,Rideaux de nuit sur meubles frigorifiques de type vertical à température positive
15,Porte non chauffante à haute performance d'isolation pour armoire verticale à froid négatif
16,Séparation du dégivrage d'un meuble frigorifique en plusieurs parties
17,Stockage thermique
18,Free cooling par tour à vent
19,Free chilling d'un réseau d'eau glacée
20,Rafraichissement solaire
21,Contrôle de l'état du calorifugeage du circuit froid et réparer si nécessaire.
22,Vérification et remplacement du calorifugeage des chambres froides
23,Diminution des distances de tuyauteries
24,Programme de maintenance performant
25,Optimisation des dégivrages des évaporateurs
26,Ecart de température optimisé à l'évaporateur
27,Contrôle du traitement de l'eau des condenseurs de type évaporatif et des tours de refroidissement
28,Ecart de température optimisé au condenseur
29,Nettoyage des condenseurs et autres échangeurs
30,Alimentation correcte en air du condenseur
31,Purge règulière des incondensables
32,"Réparation des fuites, tuyauteries, et changement des joints"
33,Ouverture des portes des zones froides minimisée
34,Augmentation de la température d'évaporation
35,Diminution de la température de condensation
36,Diminution du taux d'air neuf en période de climatisation
39,Pilotage des compresseurs en cascade et compresseurs de puissances différentes
40,Variation électronique de vitesse sur ventilateurs de soufflage des évaporateurs
41,Mise en route graduelle des ventilateurs sur les aérocondenseurs
42,Sous refroidissement optimisé
43,Gestion Technique Centralisée (GTC)
44,Système de régulation des cordons chauffant d'une porte d'armoire verticale à froid négatif
45,Désurchauffeur pour récupérer la chaleur de condensation sur un cycle frigorifique.
46,Récupérateur de chaleur de condensation sur un groupe de production de froid
47,Récupérateur de chaleur sur l'huile des compresseurs
48,Machine frigorifique à absorption
49,Remplacement des détendeurs par une turbine
50,Moteurs correctement dimensionnés
51,Dimensionnement des moteurs pour des charges variables
54,Moteur à haut rendement
55,Transmissions à haute efficacité
56,Contrôle de la qualité de puissance
57,Contrôle de la température ambiante
58,Remplacement des moteurs plutôt qu'un rebobinage ou une réparation
59,Lubrification correcte des paliers conformément aux spécifications constructeur
60,Entretien et amélioration des transmissions
61,Rebobinage de qualité des moteurs
